Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;13.08.11;;Wigan Athletic;1–1;Norwich City;;;Stuart Attwell;Match Report;
1;Sat;13.08.11;;Newcastle Utd;0–0;Arsenal;;;Peter Walton;Match Report;
1;Sat;13.08.11;;QPR;0–4;Bolton;;;Martin Atkinson;Match Report;
1;Sat;13.08.11;;Fulham;0–0;Aston Villa;;;Lee Mason;Match Report;
1;Sat;13.08.11;;Blackburn;1–2;Wolves;;;Kevin Friend;Match Report;
1;Sat;13.08.11;;Liverpool;1–1;Sunderland;;;Phil Dowd;Match Report;
1;Sun;14.08.11;;West Brom;1–2;Manchester Utd;;;Mike Jones;Match Report;
1;Sun;14.08.11;;Stoke City;0–0;Chelsea;;;Mark Halsey;Match Report;
1;Mon;15.08.11;;Manchester City;4–0;Swansea City;;;Mike Dean;Match Report;
;;;;;;;;;;;
2;Sat;20.08.11;;Everton;0–1;QPR;;;Kevin Friend;Match Report;
2;Sat;20.08.11;;Sunderland;0–1;Newcastle Utd;;;Howard Webb;Match Report;
2;Sat;20.08.11;;Aston Villa;3–1;Blackburn;;;Stuart Attwell;Match Report;
2;Sat;20.08.11;;Swansea City;0–0;Wigan Athletic;;;Phil Dowd;Match Report;
2;Sat;20.08.11;;Arsenal;0–2;Liverpool;;;Martin Atkinson;Match Report;
2;Sat;20.08.11;;Chelsea;2–1;West Brom;;;Lee Mason;Match Report;
2;Sun;21.08.11;;Norwich City;1–1;Stoke City;;;Neil Swarbrick;Match Report;
2;Sun;21.08.11;;Bolton;2–3;Manchester City;;;Mike Jones;Match Report;
2;Sun;21.08.11;;Wolves;2–0;Fulham;;;Mike Dean;Match Report;
2;Mon;22.08.11;;Manchester Utd;3–0;Tottenham;;;Lee Probert;Match Report;
;;;;;;;;;;;
3;Sat;27.08.11;;Chelsea;3–1;Norwich City;;;Mike Jones;Match Report;
3;Sat;27.08.11;;Blackburn;0–1;Everton;;;Lee Mason;Match Report;
3;Sat;27.08.11;;Wigan Athletic;2–0;QPR;;;Michael Oliver;Match Report;
3;Sat;27.08.11;;Swansea City;0–0;Sunderland;;;Mark Halsey;Match Report;
3;Sat;27.08.11;;Aston Villa;0–0;Wolves;;;Martin Atkinson;Match Report;
3;Sat;27.08.11;;Liverpool;3–1;Bolton;;;Lee Probert;Match Report;
3;Sun;28.08.11;;West Brom;0–1;Stoke City;;;Mike Dean;Match Report;
3;Sun;28.08.11;;Newcastle Utd;2–1;Fulham;;;Kevin Friend;Match Report;
3;Sun;28.08.11;;Tottenham;1–5;Manchester City;;;Phil Dowd;Match Report;
3;Sun;28.08.11;;Manchester Utd;8–2;Arsenal;;;Howard Webb;Match Report;
;;;;;;;;;;;
4;Sat;10.09.11;;Manchester City;3–0;Wigan Athletic;;;Martin Atkinson;Match Report;
4;Sat;10.09.11;;Stoke City;1–0;Liverpool;;;Mark Clattenburg;Match Report;
4;Sat;10.09.11;;Bolton;0–5;Manchester Utd;;;Andre Marriner;Match Report;
4;Sat;10.09.11;;Everton;2–2;Aston Villa;;;Michael Oliver;Match Report;
4;Sat;10.09.11;;Sunderland;1–2;Chelsea;;;Lee Probert;Match Report;
4;Sat;10.09.11;;Arsenal;1–0;Swansea City;;;Stuart Attwell;Match Report;
4;Sat;10.09.11;;Wolves;0–2;Tottenham;;;Peter Walton;Match Report;
4;Sun;11.09.11;;Norwich City;0–1;West Brom;;;Mark Halsey;Match Report;
4;Sun;11.09.11;;Fulham;1–1;Blackburn;;;Howard Webb;Match Report;
4;Mon;12.09.11;;QPR;0–0;Newcastle Utd;;;Phil Dowd;Match Report;
;;;;;;;;;;;
5;Sat;17.09.11;;Everton;3–1;Wigan Athletic;;;Peter Walton;Match Report;
5;Sat;17.09.11;;Wolves;0–3;QPR;;;Anthony Taylor;Match Report;
5;Sat;17.09.11;;Swansea City;3–0;West Brom;;;Martin Atkinson;Match Report;
5;Sat;17.09.11;;Blackburn;4–3;Arsenal;;;Andre Marriner;Match Report;
5;Sat;17.09.11;;Bolton;1–2;Norwich City;;;Howard Webb;Match Report;
5;Sat;17.09.11;;Aston Villa;1–1;Newcastle Utd;;;Neil Swarbrick;Match Report;
5;Sun;18.09.11;;Tottenham;4–0;Liverpool;;;Mike Jones;Match Report;
5;Sun;18.09.11;;Sunderland;4–0;Stoke City;;;Kevin Friend;Match Report;
5;Sun;18.09.11;;Fulham;2–2;Manchester City;;;Mark Clattenburg;Match Report;
5;Sun;18.09.11;;Manchester Utd;3–1;Chelsea;;;Phil Dowd;Match Report;
;;;;;;;;;;;
6;Sat;24.09.11;;West Brom;0–0;Fulham;;;Stuart Attwell;Match Report;
6;Sat;24.09.11;;Liverpool;2–1;Wolves;;;Kevin Friend;Match Report;
6;Sat;24.09.11;;Wigan Athletic;1–2;Tottenham;;;Jon Moss;Match Report;
6;Sat;24.09.11;;Stoke City;1–1;Manchester Utd;;;Peter Walton;Match Report;
6;Sat;24.09.11;;Newcastle Utd;3–1;Blackburn;;;Martin Atkinson;Match Report;
6;Sat;24.09.11;;Arsenal;3–0;Bolton;;;Mark Clattenburg;Match Report;
6;Sat;24.09.11;;Manchester City;2–0;Everton;;;Howard Webb;Match Report;
6;Sat;24.09.11;;Chelsea;4–1;Swansea City;;;Mike Dean;Match Report;
6;Sun;25.09.11;;QPR;1–1;Aston Villa;;;Michael Oliver;Match Report;
6;Mon;26.09.11;;Norwich City;2–1;Sunderland;;;Chris Foy;Match Report;
;;;;;;;;;;;
7;Sat;01.10.11;;Blackburn;0–4;Manchester City;;;Phil Dowd;Match Report;
7;Sat;01.10.11;;Everton;0–2;Liverpool;;;Martin Atkinson;Match Report;
7;Sat;01.10.11;;Wolves;1–2;Newcastle Utd;;;Mark Halsey;Match Report;
7;Sat;01.10.11;;Aston Villa;2–0;Wigan Athletic;;;Mark Clattenburg;Match Report;
7;Sat;01.10.11;;Manchester Utd;2–0;Norwich City;;;Stuart Attwell;Match Report;
7;Sat;01.10.11;;Sunderland;2–2;West Brom;;;Lee Mason;Match Report;
7;Sun;02.10.11;;Bolton;1–5;Chelsea;;;Peter Walton;Match Report;
7;Sun;02.10.11;;Tottenham;2–1;Arsenal;;;Mike Dean;Match Report;
7;Sun;02.10.11;;Fulham;6–0;QPR;;;Andre Marriner;Match Report;
7;Sun;02.10.11;;Swansea City;2–0;Stoke City;;;Mike Jones;Match Report;
;;;;;;;;;;;
8;Sat;15.10.11;;Manchester City;4–1;Aston Villa;;;Anthony Taylor;Match Report;
8;Sat;15.10.11;;Norwich City;3–1;Swansea City;;;Jon Moss;Match Report;
8;Sat;15.10.11;;QPR;1–1;Blackburn;;;Mark Clattenburg;Match Report;
8;Sat;15.10.11;;Liverpool;1–1;Manchester Utd;;;Andre Marriner;Match Report;
8;Sat;15.10.11;;Stoke City;2–0;Fulham;;;Martin Atkinson;Match Report;
8;Sat;15.10.11;;Wigan Athletic;1–3;Bolton;;;Mike Dean;Match Report;
8;Sat;15.10.11;;Chelsea;3–1;Everton;;;Mike Jones;Match Report;
8;Sun;16.10.11;;Arsenal;2–1;Sunderland;;;Howard Webb;Match Report;
8;Sun;16.10.11;;West Brom;2–0;Wolves;;;Chris Foy;Match Report;
8;Sun;16.10.11;;Newcastle Utd;2–2;Tottenham;;;Lee Probert;Match Report;
;;;;;;;;;;;
9;Sat;22.10.11;;Liverpool;1–1;Norwich City;;;Peter Walton;Match Report;
9;Sat;22.10.11;;Aston Villa;1–2;West Brom;;;Phil Dowd;Match Report;
9;Sat;22.10.11;;Wolves;2–2;Swansea City;;;Michael Oliver;Match Report;
9;Sat;22.10.11;;Newcastle Utd;1–0;Wigan Athletic;;;Neil Swarbrick;Match Report;
9;Sat;22.10.11;;Bolton;0–2;Sunderland;;;Mike Jones;Match Report;
9;Sun;23.10.11;;Fulham;1–3;Everton;;;Lee Probert;Match Report;
9;Sun;23.10.11;;Blackburn;1–2;Tottenham;;;Stuart Attwell;Match Report;
9;Sun;23.10.11;;Arsenal;3–1;Stoke City;;;Lee Mason;Match Report;
