Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;26.08.16;20:30;Bayern Munich;6–0;Werder Bremen;75,000;Allianz Arena;Christian Dingert;Match Report;
1;Sat;27.08.16;15:30;Dortmund;2–1;Mainz 05;81,360;Signal Iduna Park;Robert Hartmann;Match Report;
1;Sat;27.08.16;15:30;Augsburg;0–2;Wolfsburg;26,172;WWK Arena;Sascha Stegemann;Match Report;
1;Sat;27.08.16;15:30;Hamburger SV;1–1;Ingolstadt 04;50,107;Volksparkstadion;Marco Fritz;Match Report;
1;Sat;27.08.16;15:30;Eint Frankfurt;1–0;Schalke 04;47,000;Commerzbank-Arena;Wolfgang Stark;Match Report;
1;Sat;27.08.16;15:30;Köln;2–0;Darmstadt 98;50,000;RheinEnergieSTADION;Patrick Ittrich;Match Report;
1;Sat;27.08.16;18:30;M'Gladbach;2–1;Leverkusen;52,183;Stadion im Borussia-Park;Felix Brych;Match Report;
1;Sun;28.08.16;15:30;Hertha BSC;2–1;Freiburg;41,648;Olympiastadion Berlin;Benjamin Brand;Match Report;
1;Sun;28.08.16;17:30;Hoffenheim;2–2;RB Leipzig;24,188;PreZero Arena;Tobias Stieler;Match Report;
;;;;;;;;;;;
2;Fri;09.09.16;20:30;Schalke 04;0–2;Bayern Munich;62,271;Veltins-Arena;Manuel Gräfe;Match Report;
2;Sat;10.09.16;15:30;Darmstadt 98;1–0;Eint Frankfurt;17,000;Jonathan-Heimes-Stadion am Böllenfalltor;Felix Zwayer;Match Report;
2;Sat;10.09.16;15:30;Wolfsburg;0–0;Köln;29,067;Volkswagen Arena;Guido Winkmann;Match Report;
2;Sat;10.09.16;15:30;Leverkusen;3–1;Hamburger SV;30,210;BayArena;Tobias Welz;Match Report;
2;Sat;10.09.16;15:30;Freiburg;3–1;M'Gladbach;24,000;Schwarzwald-Stadion;Harm Osmers;Match Report;
2;Sat;10.09.16;15:30;Ingolstadt 04;0–2;Hertha BSC;14,100;Audi-Sportpark;Jochen Drees;Match Report;
2;Sat;10.09.16;18:30;RB Leipzig;1–0;Dortmund;42,558;Red Bull Arena;Wolfgang Stark;Match Report;
2;Sun;11.09.16;15:30;Werder Bremen;1–2;Augsburg;39,430;Weserstadion;Daniel Siebert;Match Report;
2;Sun;11.09.16;17:30;Mainz 05;4–4;Hoffenheim;27,408;Opel Arena;Markus Schmidt;Match Report;
;;;;;;;;;;;
3;Fri;16.09.16;20:30;Köln;3–0;Freiburg;47,200;RheinEnergieSTADION;Felix Zwayer;Match Report;
3;Sat;17.09.16;15:30;Bayern Munich;3–1;Ingolstadt 04;75,000;Allianz Arena;Patrick Ittrich;Match Report;
3;Sat;17.09.16;15:30;Hamburger SV;0–4;RB Leipzig;52,998;Volksparkstadion;Robert Kampka;Match Report;
3;Sat;17.09.16;15:30;Hoffenheim;0–0;Wolfsburg;23,295;PreZero Arena;Günter Perl;Match Report;
3;Sat;17.09.16;15:30;Eint Frankfurt;2–1;Leverkusen;43,000;Commerzbank-Arena;Christian Dingert;Match Report;
3;Sat;17.09.16;15:30;Dortmund;6–0;Darmstadt 98;81,360;Signal Iduna Park;Benjamin Brand;Match Report;
3;Sat;17.09.16;18:30;M'Gladbach;4–1;Werder Bremen;54,014;Stadion im Borussia-Park;Tobias Stieler;Match Report;
3;Sun;18.09.16;15:30;Augsburg;1–3;Mainz 05;26,115;WWK Arena;Bastian Dankert;Match Report;
3;Sun;18.09.16;17:30;Hertha BSC;2–0;Schalke 04;49,251;Olympiastadion Berlin;Deniz Aytekin;Match Report;
;;;;;;;;;;;
4;Tue;20.09.16;20:00;Freiburg;1–0;Hamburger SV;24,000;Schwarzwald-Stadion;Markus Schmidt;Match Report;
4;Tue;20.09.16;20:00;Wolfsburg;1–5;Dortmund;30,000;Volkswagen Arena;Daniel Siebert;Match Report;
4;Tue;20.09.16;20:00;Ingolstadt 04;0–2;Eint Frankfurt;14,259;Audi-Sportpark;Sascha Stegemann;Match Report;
4;Tue;20.09.16;20:00;Darmstadt 98;1–1;Hoffenheim;15,800;Jonathan-Heimes-Stadion am Böllenfalltor;Frank Willenborg;Match Report;
4;Wed;21.09.16;20:00;RB Leipzig;1–1;M'Gladbach;42,558;Red Bull Arena;Manuel Gräfe;Match Report;
4;Wed;21.09.16;20:00;Werder Bremen;1–2;Mainz 05;37,108;Weserstadion;Wolfgang Stark;Match Report;
4;Wed;21.09.16;20:00;Bayern Munich;3–0;Hertha BSC;75,000;Allianz Arena;Marco Fritz;Match Report;
4;Wed;21.09.16;20:00;Leverkusen;0–0;Augsburg;24,097;BayArena;Jochen Drees;Match Report;
