Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;18.08.17;20:30;Bayern Munich;2.5;3–1;2.1;Leverkusen;75,000;Allianz Arena;Tobias Stieler;Match Report;
1;Sat;19.08.17;15:30;Hertha BSC;0.7;2–0;1.2;Stuttgart;44,751;Olympiastadion Berlin;Sascha Stegemann;Match Report;
1;Sat;19.08.17;15:30;Mainz 05;0.9;0–1;0.7;Hannover 96;28,279;Opel Arena;Felix Brych;Match Report;
1;Sat;19.08.17;15:30;Wolfsburg;0.5;0–3;1.1;Dortmund;30,000;Volkswagen Arena;Robert Hartmann;Match Report;
1;Sat;19.08.17;15:30;Hoffenheim;1.2;1–0;1;Werder Bremen;30,150;Dietmar-Hopp-Stadion;Guido Winkmann;Match Report;
1;Sat;19.08.17;15:30;Hamburger SV;0.7;1–0;0.6;Augsburg;49,449;Volksparkstadion;Daniel Siebert;Match Report;
1;Sat;19.08.17;18:30;Schalke 04;1.6;2–0;0.9;RB Leipzig;61,435;Veltins-Arena;Felix Zwayer;Match Report;
1;Sun;20.08.17;15:30;Freiburg;0.2;0–0;1.3;Eint Frankfurt;24,000;Schwarzwald-Stadion;Manuel Gräfe;Match Report;
1;Sun;20.08.17;18:00;M'Gladbach;1.5;1–0;1;Köln;54,018;Stadion im Borussia-Park;Deniz Aytekin;Match Report;
;;;;;;;;;;;;;
2;Fri;25.08.17;20:30;Köln;2.3;1–3;1.7;Hamburger SV;50,000;RheinEnergieSTADION;Felix Brych;Match Report;
2;Sat;26.08.17;15:30;Stuttgart;2.3;1–0;0.9;Mainz 05;53,100;Mercedes-Benz Arena;Benjamin Brand;Match Report;
2;Sat;26.08.17;15:30;Eint Frankfurt;1.4;0–1;1;Wolfsburg;46,000;Commerzbank-Arena;Benjamin Cortus;Match Report;
2;Sat;26.08.17;15:30;Augsburg;3.3;2–2;1.4;M'Gladbach;29,243;WWK Arena;Sascha Stegemann;Match Report;
2;Sat;26.08.17;15:30;Leverkusen;2.6;2–2;0.7;Hoffenheim;27,106;BayArena;Harm Osmers;Match Report;
2;Sat;26.08.17;15:30;Werder Bremen;0.4;0–2;1.8;Bayern Munich;42,100;Weserstadion;Bastian Dankert;Match Report;
2;Sat;26.08.17;18:30;Dortmund;2.2;2–0;0.7;Hertha BSC;80,860;Signal Iduna Park;Marco Fritz;Match Report;
2;Sun;27.08.17;15:30;RB Leipzig;3.1;4–1;0.4;Freiburg;39,265;Red Bull Arena;Christian Dingert;Match Report;
2;Sun;27.08.17;18:00;Hannover 96;0.9;1–0;0.4;Schalke 04;49,000;HDI-Arena;Patrick Ittrich;Match Report;
;;;;;;;;;;;;;
3;Fri;08.09.17;20:30;Hamburger SV;0.9;0–2;2.4;RB Leipzig;50,231;Volksparkstadion;Deniz Aytekin;Match Report;
3;Sat;09.09.17;15:30;Freiburg;0.7;0–0;1.6;Dortmund;24,000;Schwarzwald-Stadion;Benjamin Cortus;Match Report;
3;Sat;09.09.17;15:30;M'Gladbach;0.9;0–1;0.4;Eint Frankfurt;51,431;Stadion im Borussia-Park;Robert Kampka;Match Report;
3;Sat;09.09.17;15:30;Augsburg;2;3–0;0.7;Köln;27,510;WWK Arena;Tobias Stieler;Match Report;
3;Sat;09.09.17;15:30;Wolfsburg;1.4;1–1;1;Hannover 96;27,321;Volkswagen Arena;Felix Zwayer;Match Report;
3;Sat;09.09.17;15:30;Mainz 05;1.3;3–1;0.9;Leverkusen;24,876;Opel Arena;Markus Schmidt;Match Report;
3;Sat;09.09.17;18:30;Hoffenheim;0.4;2–0;1.8;Bayern Munich;30,150;Dietmar-Hopp-Stadion;Daniel Siebert;Match Report;
3;Sun;10.09.17;15:30;Hertha BSC;0.9;1–1;1.1;Werder Bremen;49,118;Olympiastadion Berlin;Bibiana Steinhaus;Match Report;
3;Sun;10.09.17;18:00;Schalke 04;2.3;3–1;1.3;Stuttgart;61,098;Veltins-Arena;Frank Willenborg;Match Report;
;;;;;;;;;;;;;
4;Fri;15.09.17;20:30;Hannover 96;1.8;2–0;0.7;Hamburger SV;49,000;HDI-Arena;Robert Hartmann;Match Report;
4;Sat;16.09.17;15:30;Werder Bremen;0.9;1–2;0.9;Schalke 04;42,100;Weserstadion;Benjamin Brand;Match Report;
4;Sat;16.09.17;15:30;Eint Frankfurt;1.8;1–2;1;Augsburg;46,500;Commerzbank-Arena;Christian Dingert;Match Report;
4;Sat;16.09.17;15:30;Bayern Munich;4.9;4–0;0.7;Mainz 05;75,000;Allianz Arena;Sascha Stegemann;Match Report;
4;Sat;16.09.17;15:30;Stuttgart;0.9;1–0;0.5;Wolfsburg;50,500;Mercedes-Benz Arena;Guido Winkmann;Match Report;
4;Sat;16.09.17;18:30;RB Leipzig;1.3;2–2;1.7;M'Gladbach;42,558;Red Bull Arena;Marco Fritz;Match Report;
4;Sun;17.09.17;13:30;Hoffenheim;0.7;1–1;0.8;Hertha BSC;27,243;Dietmar-Hopp-Stadion;Markus Schmidt;Match Report;
4;Sun;17.09.17;15:30;Leverkusen;2.7;4–0;0.6;Freiburg;26,232;BayArena;Sven Jablonski;Match Report;
4;Sun;17.09.17;18:00;Dortmund;3.1;5–0;0.5;Köln;81,000;Signal Iduna Park;Patrick Ittrich;Match Report;
;;;;;;;;;;;;;
5;Tue;19.09.17;18:30;M'Gladbach;1.3;2–0;0.8;Stuttgart;44,063;Stadion im Borussia-Park;Sören Storks;Match Report;
5;Tue;19.09.17;20:30;Augsburg;1.1;1–0;0.9;RB Leipzig;26,113;WWK Arena;Daniel Siebert;Match Report;
5;Tue;19.09.17;20:30;Schalke 04;1;0–3;2.3;Bayern Munich;62,271;Veltins-Arena;Marco Fritz;Match Report;
5;Tue;19.09.17;20:30;Wolfsburg;1;1–1;1.5;Werder Bremen;26,174;Volkswagen Arena;Felix Brych;Match Report;
5;Wed;20.09.17;18:30;Köln;1.7;0–1;1.7;Eint Frankfurt;49,000;RheinEnergieSTADION;Martin Petersen;Match Report;
5;Wed;20.09.17;20:30;Mainz 05;1.3;2–3;1.3;Hoffenheim;23,477;Opel Arena;Manuel Gräfe;Match Report;
5;Wed;20.09.17;20:30;Hamburger SV;0.5;0–3;2.7;Dortmund;52,962;Volksparkstadion;Felix Zwayer;Match Report;
5;Wed;20.09.17;20:30;Freiburg;2.2;1–1;1.5;Hannover 96;22,900;Schwarzwald-Stadion;Tobias Stieler;Match Report;
5;Wed;20.09.17;20:30;Hertha BSC;0.8;2–1;0.5;Leverkusen;32,825;Olympiastadion Berlin;Deniz Aytekin;Match Report;
;;;;;;;;;;;;;
6;Fri;22.09.17;20:30;Bayern Munich;2.9;2–2;1;Wolfsburg;75,000;Allianz Arena;Christian Dingert;Match Report;
6;Sat;23.09.17;15:30;Hoffenheim;2;2–0;1.7;Schalke 04;30,150;Dietmar-Hopp-Stadion;Sascha Stegemann;Match Report;
6;Sat;23.09.17;15:30;Mainz 05;1.1;1–0;0.6;Hertha BSC;23,517;Opel Arena;Tobias Stieler;Match Report;
6;Sat;23.09.17;15:30;RB Leipzig;2;2–1;1.1;Eint Frankfurt;40,606;Red Bull Arena;Benjamin Brand;Match Report;
6;Sat;23.09.17;15:30;Werder Bremen;1.8;0–0;1.3;Freiburg;41,000;Weserstadion;Robert Hartmann;Match Report;
6;Sat;23.09.17;15:30;Stuttgart;0.7;0–0;0.8;Augsburg;55,202;Mercedes-Benz Arena;Harm Osmers;Match Report;
6;Sat;23.09.17;18:30;Dortmund;2.6;6–1;1.3;M'Gladbach;81,360;Signal Iduna Park;Manuel Gräfe;Match Report;
6;Sun;24.09.17;15:30;Hannover 96;1.3;0–0;1.2;Köln;47,000;HDI-Arena;Daniel Siebert;Match Report;
6;Sun;24.09.17;18:00;Leverkusen;2.4;3–0;0.5;Hamburger SV;27,601;BayArena;Robert Kampka;Match Report;
;;;;;;;;;;;;;
7;Fri;29.09.17;20:30;Schalke 04;1.2;1–1;1.1;Leverkusen;61,515;Veltins-Arena;Guido Winkmann;Match Report;
7;Sat;30.09.17;15:30;M'Gladbach;2.2;2–1;1.4;Hannover 96;50,542;Stadion im Borussia-Park;Christian Dingert;Match Report;
7;Sat;30.09.17;15:30;Wolfsburg;0.9;1–1;0.9;Mainz 05;24,352;Volkswagen Arena;Robert Hartmann;Match Report;
7;Sat;30.09.17;15:30;Eint Frankfurt;1.3;2–1;1.5;Stuttgart;51,500;Commerzbank-Arena;Felix Brych;Match Report;
7;Sat;30.09.17;15:30;Augsburg;1.8;1–2;2.4;Dortmund;30,660;WWK Arena;Marco Fritz;Match Report;
7;Sat;30.09.17;18:30;Hamburger SV;1;0–0;0.5;Werder Bremen;54,613;Volksparkstadion;Deniz Aytekin;Match Report;
7;Sun;01.10.17;13:30;Freiburg;1.1;3–2;1.1;Hoffenheim;24,000;Schwarzwald-Stadion;Daniel Siebert;Match Report;
7;Sun;01.10.17;15:30;Hertha BSC;2;2–2;1.8;Bayern Munich;71,212;Olympiastadion Berlin;Harm Osmers;Match Report;
7;Sun;01.10.17;18:00;Köln;1.7;1–2;2.6;RB Leipzig;48,700;RheinEnergieSTADION;Felix Zwayer;Match Report;
;;;;;;;;;;;;;
8;Fri;13.10.17;20:30;Stuttgart;2.6;2–1;1.7;Köln;58,716;Mercedes-Benz Arena;Benjamin Cortus;Match Report;
8;Sat;14.10.17;15:30;Bayern Munich;2;5–0;0.6;Freiburg;75,000;Allianz Arena;Frank Willenborg;Match Report;
8;Sat;14.10.17;15:30;Mainz 05;1.1;3–2;1.6;Hamburger SV;30,371;Opel Arena;Felix Brych;Match Report;
8;Sat;14.10.17;15:30;Hannover 96;1;1–2;0.8;Eint Frankfurt;43,500;HDI-Arena;Bastian Dankert;Match Report;
8;Sat;14.10.17;15:30;Hoffenheim;1.8;2–2;1.1;Augsburg;27,014;Dietmar-Hopp-Stadion;Manuel Gräfe;Match Report;
8;Sat;14.10.17;15:30;Hertha BSC;0.3;0–2;1.7;Schalke 04;50,590;Olympiastadion Berlin;Benjamin Brand;Match Report;
8;Sat;14.10.17;18:30;Dortmund;3.1;2–3;2.3;RB Leipzig;80,100;Signal Iduna Park;Deniz Aytekin;Match Report;
8;Sun;15.10.17;15:30;Leverkusen;1.9;2–2;1.5;Wolfsburg;29,104;BayArena;Patrick Ittrich;Match Report;
8;Sun;15.10.17;18:00;Werder Bremen;1.4;0–2;2.1;M'Gladbach;42,100;Weserstadion;Markus Schmidt;Match Report;
;;;;;;;;;;;;;
9;Fri;20.10.17;20:30;Schalke 04;2;2–0;0.5;Mainz 05;59,476;Veltins-Arena;Bibiana Steinhaus;Match Report;
9;Sat;21.10.17;15:30;RB Leipzig;1;1–0;0.6;Stuttgart;42,558;Red Bull Arena;Sven Jablonski;Match Report;
9;Sat;21.10.17;15:30;Augsburg;1.4;1–2;1;Hannover 96;25,971;WWK Arena;Sascha Stegemann;Match Report;
9;Sat;21.10.17;15:30;Eint Frankfurt;2.4;2–2;2.1;Dortmund;51,500;Commerzbank-Arena;Robert Hartmann;Match Report;
9;Sat;21.10.17;15:30;M'Gladbach;1.9;1–5;2.4;Leverkusen;53,053;Stadion im Borussia-Park;Bastian Dankert;Match Report;
9;Sat;21.10.17;18:30;Hamburger SV;0.2;0–1;2.3;Bayern Munich;57,000;Volksparkstadion;Marco Fritz;Match Report;
9;Sun;22.10.17;13:30;Köln;2;0–0;1;Werder Bremen;50,000;RheinEnergieSTADION;Robert Kampka;Match Report;
9;Sun;22.10.17;15:30;Freiburg;3;1–1;2;Hertha BSC;23,800;Schwarzwald-Stadion;Guido Winkmann;Match Report;
9;Sun;22.10.17;18:00;Wolfsburg;1.5;1–1;1.9;Hoffenheim;23,514;Volkswagen Arena;Felix Zwayer;Match Report;
;;;;;;;;;;;;;
10;Fri;27.10.17;20:30;Mainz 05;0.4;1–1;0.8;Eint Frankfurt;33,794;Opel Arena;Sascha Stegemann;Match Report;
10;Sat;28.10.17;15:30;Schalke 04;1.5;1–1;1.3;Wolfsburg;60,429;Veltins-Arena;Markus Schmidt;Match Report;
10;Sat;28.10.17;15:30;Hannover 96;2.6;4–2;0.9;Dortmund;49,000;HDI-Arena;Patrick Ittrich;Match Report;
