Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;17.08.18;20:15;Girona;0.9;0–0;0.1;Valladolid;10,368;Estadi Municipal de Montilivi;Guillermo Cuadra;Match Report;
1;Fri;17.08.18;22:15;Betis;1.4;0–3;1.9;Levante;46,225;Estadio Benito Villamarín;Ignacio Iglesias;Match Report;
1;Sat;18.08.18;18:15;Celta Vigo;0.5;1–1;0.8;Espanyol;16,215;Estadio de Balaídos;Santiago Jaime;Match Report;
1;Sat;18.08.18;20:15;Villarreal;1;1–2;0.6;Real Sociedad;16,250;Estadio de la Cerámica;Mario Melero;Match Report;
1;Sat;18.08.18;22:15;Barcelona;3.1;3–0;0.3;Alavés;52,356;Camp Nou;José Sánchez;Match Report;
1;Sun;19.08.18;18:15;Eibar;1.2;1–2;1.2;Huesca;4,234;Estadio Municipal de Ipurúa;Eduardo Prieto;Match Report;
1;Sun;19.08.18;20:15;Rayo Vallecano;1.8;1–4;2.3;Sevilla;11,626;Estadio del Rayo Vallecano;Antonio Matéu Lahoz;Match Report;
1;Sun;19.08.18;22:15;Real Madrid;0.8;2–0;0.3;Getafe;48,446;Estadio Santiago Bernabéu;Javier Estrada;Match Report;
1;Mon;20.08.18;20:00;Valencia;0.9;1–1;1.1;Atlético Madrid;46,174;Estadio de Mestalla;Jesús Gil;Match Report;
1;Mon;20.08.18;22:00;Athletic Club;1.8;2–1;1.6;Leganés;38,327;Estadio San Mamés;Adrián Cordero;Match Report;
;;;;;;;;;;;;;
2;Fri;24.08.18;20:15;Getafe;1.4;2–0;0.5;Eibar;7,851;Coliseum Alfonso Pérez;David Medié;Match Report;
2;Fri;24.08.18;22:15;Leganés;2.2;2–2;1.8;Real Sociedad;9,375;Estadio Municipal de Butarque;José Luis Munuera;Match Report;
2;Sat;25.08.18;18:15;Alavés;0.7;0–0;1.5;Betis;18,221;Estadio de Mendizorroza;Pablo González;Match Report;
2;Sat;25.08.18;20:15;Atlético Madrid;0.6;1–0;1.5;Rayo Vallecano;52,693;Estadio Wanda Metropolitano;José González;Match Report;
2;Sat;25.08.18;22:15;Valladolid;0.3;0–1;0.9;Barcelona;22,651;Estadio Municipal José Zorrilla;Ricardo de Burgos;Match Report;
2;Sun;26.08.18;18:15;Espanyol;1.6;2–0;1.3;Valencia;18,714;RCDE Stadium;Carlos del Cerro;Match Report;
2;Sun;26.08.18;22:15;Sevilla;1.9;0–0;1;Villarreal;35,831;Estadio Ramón Sánchez Pizjuán;Alberto Undiano;Match Report;
2;Sun;26.08.18;22:15;Girona;0.7;1–4;3;Real Madrid;13,889;Estadi Municipal de Montilivi;Juan Martínez;Match Report;
2;Mon;27.08.18;20:15;Levante;1.9;1–2;3.1;Celta Vigo;21,122;Estadio Ciudad de Valencia;Alejandro Hernández;Match Report;
2;Mon;27.08.18;22:00;Athletic Club;0.6;2–2;0.4;Huesca;36,818;San Mamés;Alberola Rojas;Match Report;
;;;;;;;;;;;;;
3;Fri;31.08.18;20:00;Getafe;0.8;0–0;0.5;Valladolid;9,817;Coliseum Alfonso Pérez;Adrián Cordero;Match Report;
3;Fri;31.08.18;22:00;Eibar;1.1;2–1;1;Real Sociedad;6,144;Estadio Municipal de Ipurúa;José Sánchez;Match Report;
3;Fri;31.08.18;22:00;Villarreal;1.2;0–1;0.8;Girona;15,740;Estadio de la Cerámica;Eduardo Prieto;Match Report;
3;Sat;01.09.18;18:30;Celta Vigo;0.8;2–0;0.5;Atlético Madrid;19,013;Estadio de Balaídos;Antonio Matéu Lahoz;Match Report;
3;Sat;01.09.18;20:45;Real Madrid;2.2;4–1;1.1;Leganés;59,255;Estadio Santiago Bernabéu;Santiago Jaime;Match Report;
3;Sun;02.09.18;12:00;Levante;1.5;2–2;3.4;Valencia;24,073;Estadio Ciudad de Valencia;Javier Estrada;Match Report;
3;Sun;02.09.18;16:15;Alavés;1;2–1;1.5;Espanyol;18,052;Estadio de Mendizorroza;Ignacio Iglesias;Match Report;
3;Sun;02.09.18;18:30;Barcelona;5;8–2;1.2;Huesca;72,892;Camp Nou;Mario Melero;Match Report;
3;Sun;02.09.18;20:45;Betis;0.8;1–0;0.5;Sevilla;53,451;Estadio Benito Villamarín;Jesús Gil;Match Report;
;;;;;;;;;;;;;
4;Fri;14.09.18;21:00;Huesca;1.6;0–1;1;Rayo Vallecano;6,498;Estadio El Alcoraz;David Medié;Match Report;
4;Sat;15.09.18;13:00;Atlético Madrid;1.8;1–1;1.3;Eibar;55,674;Estadio Wanda Metropolitano;Juan Martínez;Match Report;
4;Sat;15.09.18;16:15;Real Sociedad;1.2;1–2;1.4;Barcelona;26,756;Estadio Municipal de Anoeta;Carlos del Cerro;Match Report;
4;Sat;15.09.18;18:30;Valencia;1.3;0–0;1.1;Betis;40,050;Estadio de Mestalla;Alejandro Hernández;Match Report;
4;Sat;15.09.18;20:45;Athletic Club;1.5;1–1;2;Real Madrid;46,413;Estadio San Mamés;José González;Match Report;
4;Sun;16.09.18;12:00;Leganés;1.3;0–1;0.7;Villarreal;10,432;Estadio Municipal de Butarque;Pablo González;Match Report;
4;Sun;16.09.18;16:15;Espanyol;1;1–0;0.7;Levante;18,627;RCDE Stadium;Alberto Undiano;Match Report;
4;Sun;16.09.18;18:30;Valladolid;1.8;0–1;0.8;Alavés;18,873;Estadio Municipal José Zorrilla;José Luis Munuera;Match Report;
4;Sun;16.09.18;20:45;Sevilla;1.7;0–2;2;Getafe;36,943;Estadio Ramón Sánchez Pizjuán;Ricardo de Burgos;Match Report;
4;Mon;17.09.18;21:00;Girona;1.1;3–2;1;Celta Vigo;9,849;Estadi Municipal de Montilivi;Alberola Rojas;Match Report;
;;;;;;;;;;;;;
5;Fri;21.09.18;21:00;Huesca;1.2;0–1;0.3;Real Sociedad;6,948;Estadio El Alcoraz;Ignacio Iglesias;Match Report;
5;Sat;22.09.18;13:00;Rayo Vallecano;1;1–5;0.8;Alavés;12,011;Estadio del Rayo Vallecano;Adrián Cordero;Match Report;
5;Sat;22.09.18;16:15;Eibar;1.2;1–0;0.2;Leganés;4,456;Estadio Municipal de Ipurúa;Mario Melero;Match Report;
5;Sat;22.09.18;16:15;Celta Vigo;1.4;3–3;2.1;Valladolid;16,552;Estadio de Balaídos;Eduardo Prieto;Match Report;
5;Sat;22.09.18;18:30;Getafe;0.8;0–2;1;Atlético Madrid;12,756;Coliseum Alfonso Pérez;José Sánchez;Match Report;
5;Sat;22.09.18;20:45;Real Madrid;1.2;1–0;0.7;Espanyol;67,658;Estadio Santiago Bernabéu;Antonio Matéu Lahoz;Match Report;
5;Sun;23.09.18;12:00;Levante;2.6;2–6;2.9;Sevilla;21,520;Estadio Ciudad de Valencia;Guillermo Cuadra;Match Report;
5;Sun;23.09.18;16:15;Villarreal;1;0–0;0.4;Valencia;18,373;Estadio de la Cerámica;Santiago Jaime;Match Report;
5;Sun;23.09.18;20:00;Betis;1.4;2–2;0.8;Athletic Club;51,093;Estadio Benito Villamarín;Javier Estrada;Match Report;
5;Sun;23.09.18;20:45;Barcelona;1.3;2–2;0.9;Girona;76,055;Camp Nou;Jesús Gil;Match Report;
;;;;;;;;;;;;;
