Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;14.08.15;20:30;Bayern Munich;5–0;Hamburger SV;75,000;Allianz Arena;Bastian Dankert;Match Report;
1;Sat;15.08.15;15:30;Werder Bremen;0–3;Schalke 04;42,100;Weserstadion;Daniel Siebert;Match Report;
1;Sat;15.08.15;15:30;Augsburg;0–1;Hertha BSC;28,130;WWK Arena;Tobias Welz;Match Report;
1;Sat;15.08.15;15:30;Leverkusen;2–1;Hoffenheim;27,125;BayArena;Robert Hartmann;Match Report;
1;Sat;15.08.15;15:30;Darmstadt 98;2–2;Hannover 96;17,000;Jonathan-Heimes-Stadion am Böllenfalltor;Felix Brych;Match Report;
1;Sat;15.08.15;15:30;Mainz 05;0–1;Ingolstadt 04;27,152;Opel Arena;Guido Winkmann;Match Report;
1;Sat;15.08.15;18:30;Dortmund;4–0;M'Gladbach;81,359;Signal Iduna Park;Tobias Stieler;Match Report;
1;Sun;16.08.15;15:30;Wolfsburg;2–1;Eint Frankfurt;29,126;Volkswagen Arena;Christian Dingert;Match Report;
1;Sun;16.08.15;17:30;Stuttgart;1–3;Köln;59,500;Mercedes-Benz Arena;Wolfgang Stark;Match Report;
;;;;;;;;;;;
2;Fri;21.08.15;20:30;Hertha BSC;1–1;Werder Bremen;56,376;Olympiastadion Berlin;Sascha Stegemann;Match Report;
2;Sat;22.08.15;15:30;Köln;1–1;Wolfsburg;46,000;RheinEnergieSTADION;Knut Kircher;Match Report;
2;Sat;22.08.15;15:30;Hannover 96;0–1;Leverkusen;39,100;HDI-Arena;Wolfgang Stark;Match Report;
2;Sat;22.08.15;15:30;Eint Frankfurt;1–1;Augsburg;45,000;Commerzbank-Arena;Florian Meyer;Match Report;
2;Sat;22.08.15;15:30;Hoffenheim;1–2;Bayern Munich;30,150;PreZero Arena;Tobias Stieler;Match Report;
2;Sat;22.08.15;15:30;Schalke 04;1–1;Darmstadt 98;61,565;Veltins-Arena;Benjamin Brand;Match Report;
2;Sat;22.08.15;18:30;Hamburger SV;3–2;Stuttgart;54,618;Volksparkstadion;Günter Perl;Match Report;
2;Sun;23.08.15;15:30;Ingolstadt 04;0–4;Dortmund;15,000;Audi-Sportpark;Christian Dingert;Match Report;
2;Sun;23.08.15;17:30;M'Gladbach;1–2;Mainz 05;50,172;Stadion im Borussia-Park;Deniz Aytekin;Match Report;
;;;;;;;;;;;
3;Fri;28.08.15;20:30;Wolfsburg;3–0;Schalke 04;30,000;Volkswagen Arena;Felix Brych;Match Report;
3;Sat;29.08.15;15:30;Mainz 05;3–0;Hannover 96;26,872;Opel Arena;Peter Sippel;Match Report;
3;Sat;29.08.15;15:30;Stuttgart;1–4;Eint Frankfurt;49,327;Mercedes-Benz Arena;Bastian Dankert;Match Report;
3;Sat;29.08.15;15:30;Augsburg;0–1;Ingolstadt 04;30,003;WWK Arena;Jochen Drees;Match Report;
3;Sat;29.08.15;15:30;Köln;2–1;Hamburger SV;50,000;RheinEnergieSTADION;Deniz Aytekin;Match Report;
3;Sat;29.08.15;15:30;Darmstadt 98;0–0;Hoffenheim;17,000;Jonathan-Heimes-Stadion am Böllenfalltor;Marco Fritz;Match Report;
3;Sat;29.08.15;18:30;Bayern Munich;3–0;Leverkusen;75,000;Allianz Arena;Florian Meyer;Match Report;
3;Sun;30.08.15;15:30;Dortmund;3–1;Hertha BSC;80,500;Signal Iduna Park;Guido Winkmann;Match Report;
3;Sun;30.08.15;17:30;Werder Bremen;2–1;M'Gladbach;42,100;Weserstadion;Felix Zwayer;Match Report;
;;;;;;;;;;;
4;Fri;11.09.15;20:30;M'Gladbach;0–3;Hamburger SV;54,010;Stadion im Borussia-Park;Tobias Welz;Match Report;
4;Sat;12.09.15;15:30;Hertha BSC;2–1;Stuttgart;45,994;Olympiastadion Berlin;Tobias Stieler;Match Report;
4;Sat;12.09.15;15:30;Leverkusen;0–1;Darmstadt 98;29,396;BayArena;Peter Sippel;Match Report;
4;Sat;12.09.15;15:30;Ingolstadt 04;0–0;Wolfsburg;14,095;Audi-Sportpark;Sascha Stegemann;Match Report;
4;Sat;12.09.15;15:30;Bayern Munich;2–1;Augsburg;75,000;Allianz Arena;Knut Kircher;Match Report;
4;Sat;12.09.15;15:30;Hannover 96;2–4;Dortmund;49,000;HDI-Arena;Daniel Siebert;Match Report;
4;Sat;12.09.15;18:30;Eint Frankfurt;6–2;Köln;51,500;Commerzbank-Arena;Marco Fritz;Match Report;
4;Sun;13.09.15;15:30;Hoffenheim;1–3;Werder Bremen;28,312;PreZero Arena;Jochen Drees;Match Report;
4;Sun;13.09.15;17:30;Schalke 04;2–1;Mainz 05;60,083;Veltins-Arena;Robert Hartmann;Match Report;
;;;;;;;;;;;
5;Fri;18.09.15;20:30;Mainz 05;3–1;Hoffenheim;28,973;Opel Arena;Daniel Siebert;Match Report;
5;Sat;19.09.15;15:30;Darmstadt 98;0–3;Bayern Munich;17,000;Jonathan-Heimes-Stadion am Böllenfalltor;Felix Zwayer;Match Report;
5;Sat;19.09.15;15:30;Werder Bremen;0–1;Ingolstadt 04;40,500;Weserstadion;Bastian Dankert;Match Report;
5;Sat;19.09.15;15:30;Hamburger SV;0–0;Eint Frankfurt;55,322;Volksparkstadion;Wolfgang Stark;Match Report;
5;Sat;19.09.15;15:30;Wolfsburg;2–0;Hertha BSC;30,000;Volkswagen Arena;Günter Perl;Match Report;
5;Sat;19.09.15;15:30;Köln;1–0;M'Gladbach;47,800;RheinEnergieSTADION;Felix Brych;Match Report;
5;Sun;20.09.15;15:30;Stuttgart;0–1;Schalke 04;48,510;Mercedes-Benz Arena;Manuel Gräfe;Match Report;
5;Sun;20.09.15;17:30;Augsburg;2–0;Hannover 96;28,511;WWK Arena;Christian Dingert;Match Report;
5;Sun;20.09.15;17:30;Dortmund;3–0;Leverkusen;81,359;Signal Iduna Park;Deniz Aytekin;Match Report;
;;;;;;;;;;;
6;Tue;22.09.15;20:00;Bayern Munich;5–1;Wolfsburg;75,000;Allianz Arena;Tobias Stieler;Match Report;
6;Tue;22.09.15;20:00;Ingolstadt 04;0–1;Hamburger SV;15,000;Audi-Sportpark;Knut Kircher;Match Report;
6;Tue;22.09.15;20:00;Darmstadt 98;2–1;Werder Bremen;17,000;Jonathan-Heimes-Stadion am Böllenfalltor;Guido Winkmann;Match Report;
6;Tue;22.09.15;20:00;Hertha BSC;2–0;Köln;40,181;Olympiastadion Berlin;Florian Meyer;Match Report;
6;Wed;23.09.15;20:00;Leverkusen;1–0;Mainz 05;24,805;BayArena;Marco Fritz;Match Report;
6;Wed;23.09.15;20:00;Hoffenheim;1–1;Dortmund;29,700;PreZero Arena;Tobias Welz;Match Report;
6;Wed;23.09.15;20:00;M'Gladbach;4–2;Augsburg;40,511;Stadion im Borussia-Park;Daniel Siebert;Match Report;
6;Wed;23.09.15;20:00;Schalke 04;2–0;Eint Frankfurt;60,104;Veltins-Arena;Felix Zwayer;Match Report;
6;Wed;23.09.15;20:00;Hannover 96;1–3;Stuttgart;36,800;HDI-Arena;Sascha Stegemann;Match Report;
;;;;;;;;;;;
7;Fri;25.09.15;20:30;Köln;1–1;Ingolstadt 04;47,800;RheinEnergieSTADION;Christian Dingert;Match Report;
7;Sat;26.09.15;15:30;Mainz 05;0–3;Bayern Munich;34,000;Opel Arena;Bastian Dankert;Match Report;
7;Sat;26.09.15;15:30;Stuttgart;1–3;M'Gladbach;51,020;Mercedes-Benz Arena;Günter Perl;Match Report;
7;Sat;26.09.15;15:30;Wolfsburg;1–1;Hannover 96;29,236;Volkswagen Arena;Deniz Aytekin;Match Report;
7;Sat;26.09.15;15:30;Werder Bremen;0–3;Leverkusen;40,005;Weserstadion;Wolfgang Stark;Match Report;
7;Sat;26.09.15;15:30;Augsburg;1–3;Hoffenheim;27,112;WWK Arena;Manuel Gräfe;Match Report;
7;Sat;26.09.15;18:30;Hamburger SV;0–1;Schalke 04;53,192;Volksparkstadion;Jochen Drees;Match Report;
7;Sun;27.09.15;15:30;Eint Frankfurt;1–1;Hertha BSC;46,000;Commerzbank-Arena;Benjamin Brand;Match Report;
7;Sun;27.09.15;17:30;Dortmund;2–2;Darmstadt 98;81,359;Signal Iduna Park;Robert Hartmann;Match Report;
;;;;;;;;;;;
8;Fri;02.10.15;20:30;Darmstadt 98;2–3;Mainz 05;17,000;Jonathan-Heimes-Stadion am Böllenfalltor;Florian Meyer;Match Report;
8;Sat;03.10.15;15:30;Hannover 96;1–0;Werder Bremen;49,000;HDI-Arena;Peter Sippel;Match Report;
8;Sat;03.10.15;15:30;M'Gladbach;2–0;Wolfsburg;52,581;Stadion im Borussia-Park;Felix Zwayer;Match Report;
8;Sat;03.10.15;15:30;Hertha BSC;3–0;Hamburger SV;65,427;Olympiastadion Berlin;Felix Brych;Match Report;
8;Sat;03.10.15;15:30;Ingolstadt 04;2–0;Eint Frankfurt;15,000;Audi-Sportpark;Manuel Gräfe;Match Report;
8;Sat;03.10.15;15:30;Hoffenheim;2–2;Stuttgart;30,150;PreZero Arena;Deniz Aytekin;Match Report;
8;Sun;04.10.15;15:30;Schalke 04;0–3;Köln;61,723;Veltins-Arena;Knut Kircher;Match Report;
8;Sun;04.10.15;17:30;Bayern Munich;5–1;Dortmund;75,000;Allianz Arena;Marco Fritz;Match Report;
8;Sun;04.10.15;17:30;Leverkusen;1–1;Augsburg;28,475;BayArena;Tobias Stieler;Match Report;
;;;;;;;;;;;
9;Fri;16.10.15;20:30;Mainz 05;0–2;Dortmund;34,000;Opel Arena;Tobias Stieler;Match Report;
9;Sat;17.10.15;15:30;Wolfsburg;4–2;Hoffenheim;28,148;Volkswagen Arena;Felix Brych;Match Report;
9;Sat;17.10.15;15:30;Werder Bremen;0–1;Bayern Munich;42,100;Weserstadion;Christian Dingert;Match Report;
