Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;22.08.15;18:00;Hellas Verona;1–1;Roma;22,075;Stadio Marc'Antonio Bentegodi;Marco Guida;Match Report;
1;Sat;22.08.15;20:45;Lazio;2–1;Bologna;19,464;Stadio Olimpico;Gianluca Rocchi;Match Report;
1;Sun;23.08.15;18:00;Juventus;0–1;Udinese;38,433;Allianz Stadium;Paolo Mazzoleni;Match Report;
1;Sun;23.08.15;20:45;Sassuolo;2–1;Napoli;13,755;Stadio Città del Tricolore;Daniele Doveri;Match Report;
1;Sun;23.08.15;20:45;Sampdoria;5–2;Carpi;21,835;Stadio Comunale Luigi Ferraris;Michael Fabbri;Match Report;
1;Sun;23.08.15;20:45;Frosinone;1–2;Torino;9,000;Stadio Comunale Matusa;Luca Banti;Match Report;
1;Sun;23.08.15;20:45;Inter;1–0;Atalanta;37,042;Stadio Giuseppe Meazza;Giampaolo Calvarese;Match Report;
1;Sun;23.08.15;20:45;Fiorentina;2–0;Milan;33,904;Stadio Artemio Franchi;Paolo Valeri;Match Report;
1;Sun;23.08.15;20:45;Empoli;1–3;Chievo;7,309;Stadio Carlo Castellani;Maurizio Mariani;Match Report;
1;Sun;23.08.15;20:45;Palermo;1–0;Genoa;22,608;Stadio Renzo Barbera;Massimiliano Irrati;Match Report;
;;;;;;;;;;;
2;Sat;29.08.15;18:00;Bologna;0–1;Sassuolo;15,732;Stadio Renato Dall'Ara;Carmine Russo;Match Report;
2;Sat;29.08.15;20:45;Milan;2–1;Empoli;34,382;Stadio Giuseppe Meazza;Piero Giacomelli;Match Report;
2;Sun;30.08.15;18:00;Roma;2–1;Juventus;56,040;Stadio Olimpico;Nicola Rizzoli;Match Report;
2;Sun;30.08.15;20:45;Chievo;4–0;Lazio;10,000;Stadio Marc'Antonio Bentegodi;Marco Di Bello;Match Report;
2;Sun;30.08.15;20:45;Udinese;0–1;Palermo;13,200;Dacia Arena;Antonio Damato;Match Report;
2;Sun;30.08.15;20:45;Napoli;2–2;Sampdoria;25,128;Stadio San Paolo;Andrea Gervasoni;Match Report;
2;Sun;30.08.15;20:45;Torino;3–1;Fiorentina;28,482;Stadio Olimpico di Torino;Paolo Tagliavento;Match Report;
2;Sun;30.08.15;20:45;Atalanta;2–0;Frosinone;14,546;Stadio Atleti Azzurri d'Italia;Domenico Celi;Match Report;
2;Sun;30.08.15;20:45;Carpi;1–2;Inter;10,591;Stadio Sandro Cabassi;Davide Massa;Match Report;
2;Sun;30.08.15;20:45;Genoa;2–0;Hellas Verona;19,462;Stadio Comunale Luigi Ferraris;Daniele Orsato;Match Report;
;;;;;;;;;;;
3;Sat;12.09.15;18:00;Frosinone;0–2;Roma;9,000;Stadio Comunale Matusa;Andrea Gervasoni;Match Report;
3;Sat;12.09.15;18:00;Fiorentina;1–0;Genoa;30,048;Stadio Artemio Franchi;Daniele Doveri;Match Report;
3;Sat;12.09.15;20:45;Juventus;1–1;Chievo;29,250;Allianz Stadium;Marco Guida;Match Report;
3;Sun;13.09.15;12:30;Hellas Verona;2–2;Torino;17,868;Stadio Marc'Antonio Bentegodi;Massimiliano Irrati;Match Report;
3;Sun;13.09.15;15:00;Palermo;2–2;Carpi;20,250;Stadio Renzo Barbera;Claudio Gavillucci;Match Report;
3;Sun;13.09.15;15:00;Sassuolo;2–2;Atalanta;8,644;Stadio Città del Tricolore;Maurizio Mariani;Match Report;
3;Sun;13.09.15;15:00;Empoli;2–2;Napoli;9,632;Stadio Carlo Castellani;Luca Banti;Match Report;
3;Sun;13.09.15;18:00;Lazio;2–0;Udinese;25,000;Stadio Olimpico;Giampaolo Calvarese;Match Report;
3;Sun;13.09.15;20:45;Inter;1–0;Milan;79,154;Stadio Giuseppe Meazza;Gianluca Rocchi;Match Report;
3;Mon;14.09.15;20:45;Sampdoria;2–0;Bologna;20,976;Stadio Comunale Luigi Ferraris;Angelo Cervellera;Match Report;
;;;;;;;;;;;
4;Sat;19.09.15;18:00;Udinese;1–2;Empoli;14,000;Dacia Arena;Michael Fabbri;Match Report;
4;Sat;19.09.15;20:45;Milan;3–2;Palermo;33,689;Stadio Giuseppe Meazza;Carmine Russo;Match Report;
4;Sun;20.09.15;12:30;Chievo;0–1;Inter;19,500;Stadio Marc'Antonio Bentegodi;Paolo Tagliavento;Match Report;
4;Sun;20.09.15;15:00;Torino;2–0;Sampdoria;13,590;Stadio Olimpico di Torino;Piero Giacomelli;Match Report;
4;Sun;20.09.15;15:00;Genoa;0–2;Juventus;25,115;Stadio Comunale Luigi Ferraris;Paolo Valeri;Match Report;
4;Sun;20.09.15;15:00;Roma;2–2;Sassuolo;60,133;Stadio Olimpico;Davide Massa;Match Report;
4;Sun;20.09.15;15:00;Atalanta;1–1;Hellas Verona;14,323;Stadio Atleti Azzurri d'Italia;Fabio Maresca;Match Report;
4;Sun;20.09.15;15:00;Bologna;1–0;Frosinone;28,436;Stadio Renato Dall'Ara;Daniele Orsato;Match Report;
4;Sun;20.09.15;18:00;Carpi;0–1;Fiorentina;7,981;Stadio Sandro Cabassi;Marco Di Bello;Match Report;
4;Sun;20.09.15;20:45;Napoli;5–0;Lazio;18,766;Stadio San Paolo;Antonio Damato;Match Report;
;;;;;;;;;;;
5;Tue;22.09.15;20:45;Udinese;2–3;Milan;26,774;Dacia Arena;Daniele Doveri;Match Report;
5;Wed;23.09.15;20:45;Fiorentina;2–0;Bologna;25,085;Stadio Artemio Franchi;Giampaolo Calvarese;Match Report;
5;Wed;23.09.15;20:45;Inter;1–0;Hellas Verona;34,548;Stadio Giuseppe Meazza;Carmine Russo;Match Report;
5;Wed;23.09.15;20:45;Sampdoria;2–1;Roma;21,769;Stadio Comunale Luigi Ferraris;Luca Banti;Match Report;
