Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;18.08.17;20:15;Leganés;1.3;1–0;0.9;Alavés;9,231;Estadio Municipal de Butarque;José Munuera;Match Report;
1;Fri;18.08.17;22:15;Valencia;2;1–0;0.4;Las Palmas;35,971;Estadio de Mestalla;Jesús Gil;Match Report;
1;Sat;19.08.17;18:15;Celta Vigo;1.2;2–3;2.1;Real Sociedad;16,961;Estadio de Balaídos;Antonio Matéu Lahoz;Match Report;
1;Sat;19.08.17;20:15;Girona;2.4;2–2;0.7;Atlético Madrid;11,511;Estadi Municipal de Montilivi;Juan Martínez;Match Report;
1;Sat;19.08.17;22:15;Sevilla;1.9;1–1;1.2;Espanyol;30,487;Estadio Ramón Sánchez Pizjuán;Alejandro Hernández;Match Report;
1;Sun;20.08.17;18:15;Athletic Club;0.9;0–0;0.4;Getafe;37,884;San Mamés;Mario Melero;Match Report;
1;Sun;20.08.17;20:15;Barcelona;1.7;2–0;0.3;Betis;56,480;Camp Nou;Daniel Trujillo;Match Report;
1;Sun;20.08.17;22:15;La Coruña;1.9;0–3;2.4;Real Madrid;27,770;Estadio Municipal de Riazor;José González;Match Report;
1;Mon;21.08.17;20:15;Levante;1.6;1–0;0.6;Villarreal;19,500;Estadio Ciudad de Valencia;Alfonso Álvarez;Match Report;
1;Mon;21.08.17;22:00;Málaga;0.6;0–1;0.8;Eibar;24,753;Estadio La Rosaleda;David Medié;Match Report;
;;;;;;;;;;;;;
2;Fri;25.08.17;20:15;Real Sociedad;3;3–0;0.2;Villarreal;19,931;Estadio Municipal de Anoeta;Javier Estrada;Match Report;
2;Fri;25.08.17;22:00;Betis;0.9;2–1;0.5;Celta Vigo;45,761;Estadio Benito Villamarín;Ricardo de Burgos;Match Report;
2;Sat;26.08.17;18:15;Alavés;0.7;0–2;2.5;Barcelona;19,356;Estadio de Mendizorroza;Carlos del Cerro;Match Report;
2;Sat;26.08.17;20:15;Girona;1.9;1–0;0.4;Málaga;9,966;Estadi Municipal de Montilivi;Santiago Jaime;Match Report;
2;Sat;26.08.17;20:15;Levante;2.5;2–2;1.2;La Coruña;17,370;Estadio Ciudad de Valencia;Alberola Rojas;Match Report;
2;Sat;26.08.17;21:15 (22:15);Las Palmas;1.3;1–5;0.5;Atlético Madrid;20,384;Estadio de Gran Canaria;Ignacio Iglesias;Match Report;
2;Sun;27.08.17;18:15;Espanyol;1.5;0–1;1.9;Leganés;18,383;RCDE Stadium;Pablo González;Match Report;
2;Sun;27.08.17;18:15;Eibar;1.1;0–1;0.6;Athletic Club;5,932;Estadio Municipal de Ipurúa;José Sánchez;Match Report;
2;Sun;27.08.17;20:15;Getafe;1.8;0–1;1;Sevilla;10,039;Coliseum Alfonso Pérez;Alberto Undiano;Match Report;
2;Sun;27.08.17;22:15;Real Madrid;3;2–2;1.4;Valencia;65,107;Estadio Santiago Bernabéu;David Fernández;Match Report;
;;;;;;;;;;;;;
3;Fri;08.09.17;21:00;Leganés;1.5;1–2;0.5;Getafe;11,454;Estadio Municipal de Butarque;Alfonso Álvarez;Match Report;
3;Sat;09.09.17;13:00;Real Madrid;2.1;1–1;0.7;Levante;67,789;Estadio Santiago Bernabéu;Alejandro Hernández;Match Report;
3;Sat;09.09.17;16:15;Valencia;0.6;0–0;0.7;Atlético Madrid;43,859;Estadio de Mestalla;José González;Match Report;
3;Sat;09.09.17;18:30;Sevilla;2.6;3–0;0.6;Eibar;32,469;Estadio Ramón Sánchez Pizjuán;Antonio Matéu Lahoz;Match Report;
3;Sat;09.09.17;20:45;Barcelona;3.5;5–0;0.7;Espanyol;72,857;Camp Nou;Jesús Gil;Match Report;
3;Sun;10.09.17;12:00;La Coruña;1;2–4;2;Real Sociedad;21,942;Estadio Municipal de Riazor;José Munuera;Match Report;
3;Sun;10.09.17;16:15;Athletic Club;1;2–0;0.5;Girona;39,952;San Mamés;Daniel Trujillo;Match Report;
3;Sun;10.09.17;18:30;Celta Vigo;2.1;1–0;0.5;Alavés;17,384;Estadio de Balaídos;Mario Melero;Match Report;
3;Sun;10.09.17;20:45;Villarreal;1.5;3–1;0.7;Betis;18,638;Estadio de la Cerámica;David Medié;Match Report;
3;Mon;11.09.17;21:00;Málaga;0.7;1–3;1.3;Las Palmas;22,697;Estadio La Rosaleda;Javier Estrada;Match Report;
;;;;;;;;;;;;;
4;Fri;15.09.17;21:00;Eibar;0.7;1–0;0.2;Leganés;4,986;Estadio Municipal de Ipurúa;Juan Martínez;Match Report;
4;Sat;16.09.17;13:00;Levante;0.7;1–1;1.3;Valencia;23,084;Estadio Ciudad de Valencia;Carlos del Cerro;Match Report;
4;Sat;16.09.17;16:15;Getafe;1.2;1–2;0.6;Barcelona;15,164;Coliseum Alfonso Pérez;David Fernández;Match Report;
4;Sat;16.09.17;18:30;Betis;1.8;2–1;0.5;La Coruña;46,174;Estadio Benito Villamarín;Alberto Undiano;Match Report;
4;Sat;16.09.17;20:45;Atlético Madrid;1.6;1–0;0.4;Málaga;63,114;Estadio Wanda Metropolitano;José Sánchez;Match Report;
4;Sun;17.09.17;12:00;Alavés;0.4;0–3;1.6;Villarreal;18,124;Estadio de Mendizorroza;Santiago Jaime;Match Report;
4;Sun;17.09.17;16:15;Girona;1.8;0–1;1;Sevilla;11,032;Estadi Municipal de Montilivi;Ricardo de Burgos;Match Report;
4;Sun;17.09.17;17:30 (18:30);Las Palmas;0.9;1–0;1.3;Athletic Club;19,213;Estadio de Gran Canaria;Pablo González;Match Report;
4;Sun;17.09.17;20:45;Real Sociedad;0.8;1–3;1.6;Real Madrid;24,966;Estadio Municipal de Anoeta;Ignacio Iglesias;Match Report;
4;Mon;18.09.17;21:00;Espanyol;0.9;2–1;1;Celta Vigo;15,026;RCDE Stadium;Alberola Rojas;Match Report;
;;;;;;;;;;;;;
5;Tue;19.09.17;20:00;Valencia;3.1;5–0;0.8;Málaga;36,215;Estadio de Mestalla;Alfonso Álvarez;Match Report;
5;Tue;19.09.17;22:00;Barcelona;2.4;6–1;1.1;Eibar;51,645;Camp Nou;Alejandro Hernández;Match Report;
5;Wed;20.09.17;20:00;Athletic Club;2.2;1–2;2.3;Atlético Madrid;43,381;San Mamés;Javier Estrada;Match Report;
5;Wed;20.09.17;20:00;Leganés;0.9;0–0;0.7;Girona;9,781;Estadio Municipal de Butarque;Mario Melero;Match Report;
5;Wed;20.09.17;21:00;La Coruña;2.1;1–0;0.6;Alavés;18,518;Estadio Municipal de Riazor;David Medié;Match Report;
5;Wed;20.09.17;22:00;Real Madrid;3.1;0–1;0.8;Betis;65,102;Estadio Santiago Bernabéu;Antonio Matéu Lahoz;Match Report;
5;Wed;20.09.17;22:00;Sevilla;1.5;1–0;0.2;Las Palmas;35,317;Estadio Ramón Sánchez Pizjuán;José González;Match Report;
5;Thu;21.09.17;20:00;Villarreal;1.3;0–0;0.7;Espanyol;17,094;Estadio de la Cerámica;José Munuera;Match Report;
5;Thu;21.09.17;21:00;Celta Vigo;0.6;1–1;0.9;Getafe;14,700;Estadio de Balaídos;Daniel Trujillo;Match Report;
5;Thu;21.09.17;22:00;Levante;1.8;3–0;1.2;Real Sociedad;17,415;Estadio Ciudad de Valencia;Jesús Gil;Match Report;
;;;;;;;;;;;;;
6;Sat;23.09.17;13:00;Atlético Madrid;1.7;2–0;0.5;Sevilla;60,823;Estadio Wanda Metropolitano;Juan Martínez;Match Report;
6;Sat;23.09.17;16:15;Alavés;0.7;1–2;3.1;Real Madrid;19,159;Estadio de Mendizorroza;Alberto Undiano;Match Report;
