Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Sat;19.08.17;18:00;Juventus;1.2;3–0;1.4;Cagliari;39,226;Allianz Stadium;Fabio Maresca;Match Report;
1;Sat;19.08.17;20:45;Hellas Verona;1.5;1–3;1.7;Napoli;15,215;Stadio Marc'Antonio Bentegodi;Michael Fabbri;Match Report;
1;Sun;20.08.17;18:00;Atalanta;1.6;0–1;0.3;Roma;19,108;Stadio Atleti Azzurri d'Italia;Piero Giacomelli;Match Report;
1;Sun;20.08.17;20:45;Sampdoria;2.1;2–1;1.3;Benevento;19,223;Stadio Comunale Luigi Ferraris;Fabrizio Pasqua;Match Report;
1;Sun;20.08.17;20:45;Crotone;0.6;0–3;2.2;Milan;13,478;Stadio Ezio Scida;Maurizio Mariani;Match Report;
1;Sun;20.08.17;20:45;Bologna;0.8;1–1;0.4;Torino;19,033;Stadio Renato Dall'Ara;Davide Massa;Match Report;
1;Sun;20.08.17;20:45;Udinese;0.9;1–2;0.7;Chievo;13,000;Dacia Arena;Claudio Gavillucci;Match Report;
1;Sun;20.08.17;20:45;Sassuolo;0.6;0–0;1.1;Genoa;8,134;Stadio Città del Tricolore;Antonio Damato;Match Report;
1;Sun;20.08.17;20:45;Inter;2.6;3–0;0.6;Fiorentina;51,752;Stadio Giuseppe Meazza;Paolo Tagliavento;Match Report;
1;Sun;20.08.17;20:45;Lazio;1.2;0–0;0.8;SPAL;25,000;Stadio Olimpico;Rosario Abisso;Match Report;
;;;;;;;;;;;;;
2;Sat;26.08.17;18:00;Benevento;1.5;0–1;1.3;Bologna;11,054;Stadio Ciro Vigorito;Giampaolo Calvarese;Match Report;
2;Sat;26.08.17;18:00;Genoa;1.3;2–4;1.8;Juventus;26,296;Stadio Comunale Luigi Ferraris;Luca Banti;Match Report;
2;Sat;26.08.17;20:45;Roma;1.3;1–3;2.6;Inter;49,388;Stadio Olimpico;Massimiliano Irrati;Match Report;
