Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;24.08.18;20:30;Bayern Munich;2.8;3–1;0.9;Hoffenheim;75,000;Allianz Arena;Bastian Dankert;Match Report;
1;Sat;25.08.18;15:30;Hertha BSC;1.4;1–0;1.3;Nürnberg;52,729;Olympiastadion Berlin;Tobias Welz;Match Report;
1;Sat;25.08.18;15:30;Wolfsburg;1.3;2–1;1.4;Schalke 04;26,621;Volkswagen Arena;Patrick Ittrich;Match Report;
1;Sat;25.08.18;15:30;Werder Bremen;1.8;1–1;1;Hannover 96;42,100;Weserstadion;Felix Brych;Match Report;
1;Sat;25.08.18;15:30;Freiburg;2;0–2;0.9;Eint Frankfurt;24,000;Schwarzwald-Stadion;Manuel Gräfe;Match Report;
1;Sat;25.08.18;15:30;Düsseldorf;1.3;1–2;1.3;Augsburg;40,996;Merkur Spielarena;Markus Schmidt;Match Report;
1;Sat;25.08.18;18:30;M'Gladbach;4.1;2–0;1.4;Leverkusen;53,087;Stadion im Borussia-Park;Christian Dingert;Match Report;
1;Sun;26.08.18;15:30;Mainz 05;1.1;1–0;1;Stuttgart;28,705;Opel Arena;Daniel Siebert;Match Report;
1;Sun;26.08.18;18:00;Dortmund;1;4–1;1.6;RB Leipzig;80,365;Signal Iduna Park;Deniz Aytekin;Match Report;
;;;;;;;;;;;;;
2;Fri;31.08.18;20:30;Hannover 96;0.8;0–0;0.7;Dortmund;49,000;HDI-Arena;Felix Zwayer;Match Report;
2;Sat;01.09.18;15:30;Leverkusen;1.5;1–3;1.2;Wolfsburg;26,247;BayArena;Sven Jablonski;Match Report;
2;Sat;01.09.18;15:30;Augsburg;1.1;1–1;1.1;M'Gladbach;29,580;WWK Arena;Frank Willenborg;Match Report;
2;Sat;01.09.18;15:30;Eint Frankfurt;1.2;1–2;1.7;Werder Bremen;50,000;Commerzbank-Arena;Sören Storks;Match Report;
2;Sat;01.09.18;15:30;Hoffenheim;3.5;3–1;2.7;Freiburg;28,619;PreZero Arena;Robert Hartmann;Match Report;
2;Sat;01.09.18;15:30;Nürnberg;1.2;1–1;0.4;Mainz 05;37,781;Max-Morlock-Stadion;Guido Winkmann;Match Report;
2;Sat;01.09.18;18:30;Stuttgart;0.2;0–3;1.8;Bayern Munich;58,680;Mercedes-Benz Arena;Harm Osmers;Match Report;
2;Sun;02.09.18;15:30;RB Leipzig;1.8;1–1;1.2;Düsseldorf;34,975;Red Bull Arena;Marco Fritz;Match Report;
2;Sun;02.09.18;18:00;Schalke 04;1.8;0–2;0.6;Hertha BSC;60,181;Veltins-Arena;Sascha Stegemann;Match Report;
;;;;;;;;;;;;;
3;Fri;14.09.18;20:30;Dortmund;0.9;3–1;0.3;Eint Frankfurt;81,000;Signal Iduna Park;Benjamin Cortus;Match Report;
3;Sat;15.09.18;15:30;Bayern Munich;1.3;3–1;0.8;Leverkusen;75,000;Allianz Arena;Tobias Welz;Match Report;
