Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;18.09.20;20:30;Bayern Munich;5.1;8–0;0.2;Schalke 04;;Allianz Arena;Felix Zwayer;Match Report;
1;Sat;19.09.20;15:30;Köln;2.1;2–3;3.1;Hoffenheim;;RheinEnergieSTADION;Daniel Siebert;Match Report;
1;Sat;19.09.20;15:30;Eint Frankfurt;1.6;1–1;1;Arminia;6,500;Commerzbank-Arena;Benjamin Brand;Match Report;
1;Sat;19.09.20;15:30;Werder Bremen;1;1–4;2.1;Hertha BSC;8,400;Weserstadion;Sascha Stegemann;Match Report;
1;Sat;19.09.20;15:30;Union Berlin;1.3;1–3;1.1;Augsburg;4,600;Stadion An der Alten Försterei;Marco Fritz;Match Report;
1;Sat;19.09.20;15:30;Stuttgart;3.1;2–3;2;Freiburg;7,123;Mercedes-Benz Arena;Benjamin Cortus;Match Report;
1;Sat;19.09.20;18:30;Dortmund;1.6;3–0;0.6;M'Gladbach;9,300;Signal Iduna Park;Felix Brych;Match Report;
1;Sun;20.09.20;15:30;RB Leipzig;2.8;3–1;1.2;Mainz 05;8,500;Red Bull Arena;Manuel Gräfe;Match Report;
1;Sun;20.09.20;18:00;Wolfsburg;1;0–0;0.7;Leverkusen;;Volkswagen Arena;Sven Jablonski;Match Report;
;;;;;;;;;;;;;
2;Fri;25.09.20;20:30;Hertha BSC;1.1;1–3;1.7;Eint Frankfurt;4,000;Olympiastadion Berlin;Bastian Dankert;Match Report;
2;Sat;26.09.20;15:30;Mainz 05;1.2;1–4;2.7;Stuttgart;3,403;Opel Arena;Daniel Schlager;Match Report;
2;Sat;26.09.20;15:30;Leverkusen;0.8;1–1;0.8;RB Leipzig;6,042;BayArena;Harm Osmers;Match Report;
2;Sat;26.09.20;15:30;Arminia;0.2;1–0;0.9;Köln;5,460;SchücoArena;Patrick Ittrich;Match Report;
2;Sat;26.09.20;15:30;M'Gladbach;1.3;1–1;0.9;Union Berlin;10,383;Stadion im Borussia-Park;Tobias Stieler;Match Report;
2;Sat;26.09.20;15:30;Augsburg;1;2–0;1.7;Dortmund;6,000;WWK Arena;Martin Petersen;Match Report;
2;Sat;26.09.20;18:30;Schalke 04;1.2;1–3;2.4;Werder Bremen;;Veltins-Arena;Markus Schmidt;Match Report;
2;Sun;27.09.20;15:30;Hoffenheim;4;4–1;1.6;Bayern Munich;;PreZero Arena;Benjamin Brand;Match Report;
2;Sun;27.09.20;18:00;Freiburg;1.5;1–1;0.6;Wolfsburg;3,200;Schwarzwald-Stadion;Sören Storks;Match Report;
;;;;;;;;;;;;;
3;Fri;02.10.20;20:30;Union Berlin;1.9;4–0;0.2;Mainz 05;4,400;Stadion An der Alten Försterei;Sascha Stegemann;Match Report;
3;Sat;03.10.20;15:30;Stuttgart;0.8;1–1;1.4;Leverkusen;9,500;Mercedes-Benz Arena;Robert Hartmann;Match Report;
3;Sat;03.10.20;15:30;Werder Bremen;0.4;1–0;0.9;Arminia;300;Weserstadion;Robert Schröder;Match Report;
3;Sat;03.10.20;15:30;Köln;0.8;1–3;2.2;M'Gladbach;300;RheinEnergieSTADION;Marco Fritz;Match Report;
3;Sat;03.10.20;15:30;Dortmund;3.1;4–0;0.6;Freiburg;11,500;Signal Iduna Park;Guido Winkmann;Match Report;
3;Sat;03.10.20;15:30;Eint Frankfurt;2.6;2–1;0.5;Hoffenheim;8,000;Commerzbank-Arena;Manuel Gräfe;Match Report;
3;Sat;03.10.20;18:30;RB Leipzig;3.2;4–0;0.1;Schalke 04;8,500;Red Bull Arena;Florian Badstübner;Match Report;
