Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
1;Fri;21.08.20;19:00;Bordeaux;0.4;0–0;0.3;Nantes;;Stade Matmut-Atlantique;Benoît Bastien;Match Report;
1;Sat;22.08.20;17:00;Dijon;0.5;0–1;2.1;Angers;;Stade Gaston Gérard;Eric Wattellier;Match Report;
1;Sat;22.08.20;21:00;Lille;0.5;1–1;1.4;Rennes;3,975;Stade Pierre-Mauroy;Clément Turpin;Match Report;
1;Sun;23.08.20;13:00;Monaco;2;2–2;1.3;Reims;;Stade Louis II.;François Letexier;Match Report;
1;Sun;23.08.20;15:00;Nîmes;1.1;4–0;0.4;Brest;;Stade des Costières;Jérémie Pignard;Match Report;
1;Sun;23.08.20;15:00;Lorient;2.8;3–1;0.5;Strasbourg;;Stade Yves Allainmat - Le Moustoir;Johan Hamel;Match Report;
1;Sun;23.08.20;17:00;Nice;0.2;2–1;2.5;Lens;;Stade de Nice;Jérôme Miguelgorry;Match Report;
;;;;;;;;;;;;;
2;Fri;28.08.20;21:00;Lyon;4.8;4–1;0.4;Dijon;;Groupama Stadium;Benoît Millot;Match Report;
2;Sat;29.08.20;17:00;Rennes;1.9;2–1;0.5;Montpellier;;Roazhon Park;Willy Delajod;Match Report;
2;Sat;29.08.20;21:00;Strasbourg;0.2;0–2;1.4;Nice;;Stade de la Meinau;Jérôme Brisard;Match Report;
2;Sun;30.08.20;13:00;Reims;0.2;0–1;1.1;Lille;;Stade Auguste-Delaune II;Stéphanie Frappart;Match Report;
2;Sun;30.08.20;15:00;Angers;0.9;0–2;2.1;Bordeaux;;Stade Raymond Kopa;Karim Abed;Match Report;
2;Sun;30.08.20;15:00;Saint-Étienne;1.3;2–0;0.2;Lorient;;Stade Geoffroy-Guichard;Florent Batta;Match Report;
2;Sun;30.08.20;15:00;Metz;0.7;0–1;0.3;Monaco;4,463;Stade Saint-Symphorien;Jeremy Stinat;Match Report;
2;Sun;30.08.20;15:00;Nantes;2.3;2–1;1.4;Nîmes;;Stade de la Beaujoire - Louis Fonteneau;Hakim Ben El Hadj Salem;Match Report;
2;Sun;30.08.20;21:00;Brest;2.7;2–3;1.4;Marseille;;Stade Francis-Le Blé;Amaury Delerue;Match Report;
